gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
STAT1;-0,826928005;-1,167024034;-1,31531414;-1,217859449;-1,611977005;-1,420897675;-0,402072884;-0,587857939;-0,693794288;-0,540132615;-1,057773959;-0,733724082;6,34E-100;3,44E-131;3,04E-78;0;9,83E-171;0
WARS;-1,475618523;-1,742650504;-1,283305309;-1,537470304;-1,106555276;-1,53130155;-0,927936637;-1,193643149;-0,742227158;-0,741758082;-0,560573437;-0,753947542;4,44E-253;3,75E-307;9,00E-108;0;6,94E-51;9,54E-127
PARP14;-1,095129816;-1,32691187;-1,431360443;-1,247931729;-1,2008577;-1,537842527;-0,582910593;-0,766848952;-0,772441852;-0,521044718;-0,796948168;-0,833761327;1,65E-215;7,48E-247;5,90E-109;0;4,05E-52;3,89E-247
RNF213;-1,272662321;-1,240129999;-0,870918792;-1,31569133;-0,201140755;-0,683000699;-0,6698931;-0,640006461;-0,365794758;-0,574755795;-0,094936527;-0,242965404;0;8,23E-188;2,20E-37;0;0,009865156;6,37E-64
IRF1;-1,501643891;-1,480489293;-1,414033635;-1,409361805;-1,856694042;-1,46225098;-0,823599192;-1,075785583;-0,697518763;-0,657304649;-1,287950616;-0,763827749;3,91E-94;2,38E-103;5,62E-22;8,09E-284;2,58E-34;4,09E-61
DPYD;-0,518632625;-0,630071198;NA;-1,224601853;NA;-1,184726211;-0,176259806;-0,253822589;-0,025619954;-0,517959118;0,073054551;-0,422942713;2,01E-17;1,77E-40;0,835595779;1,43E-247;0,568372456;9,93E-101
LAP3;-1,432541697;-1,267981609;-1,351791818;-1,258585624;-0,546498492;-0,542225895;-0,723207649;-0,629721792;-0,552077131;-0,509775646;-0,217218729;-0,210864139;1,71E-78;8,53E-51;5,69E-66;3,65E-246;7,25E-06;2,60E-06
GBP1;-1,383338221;-1,851218392;-1,891145551;-1,526318509;NA;-1,635908572;-0,883930272;-1,26230515;-0,9308068;-0,750093078;-0,04387447;-0,959140526;2,49E-39;9,84E-182;4,96E-66;1,92E-245;0,85317903;1,47E-39
PARP9;-0,782294759;-1,145449605;-1,436758816;-1,231235479;-1,670941412;-1,403773669;-0,359327284;-0,57004541;-0,763306041;-0,539197909;-1,058761935;-0,70218095;6,45E-28;6,49E-48;1,61E-08;2,87E-236;4,49E-19;1,66E-58
GBP4;-1,925938247;-1,614793597;-1,428931974;-1,60451141;NA;-1,322469479;-1,194328535;-1,22380142;-0,631224879;-0,799774117;-0,911891993;-0,683666167;1,44E-27;1,05E-187;1,07E-11;4,36E-219;0,002188476;2,25E-11
NLRC5;-0,864589824;-1,529260848;-1,471867452;-1,379454419;-1,650918749;-1,654169572;-0,49506698;-1,101317391;-0,827056957;-0,749443637;-1,540164314;-0,986532914;8,70E-46;9,66E-72;1,71E-66;6,36E-208;6,31E-16;5,31E-132
TAP2;-1,117487601;-1,302192376;-1,348160819;-1,261661817;-1,610164063;-1,74166216;-0,57603362;-0,663739165;-0,668753442;-0,520734575;-0,913327586;-0,842263019;3,71E-39;1,20E-46;4,18E-37;3,01E-189;3,50E-40;8,78E-55
EPSTI1;NA;-1,462842494;NA;-1,402269673;NA;NA;-0,683834212;-0,888767357;-0,032028404;-0,762783731;-0,791161155;0,172755305;0,00020432;1,37E-107;0,88326;7,96E-183;0,000809029;0,171168232
TRIM31;NA;NA;NA;-1,111021999;NA;-0,941630635;-0,93542017;-0,774577852;0,274009709;-0,380034768;-0,014767937;-0,323240825;1,69E-05;9,69E-10;0,261824768;2,38E-176;0,958277101;4,20E-12
GBP2;-1,794262984;-1,690007421;-1,525475306;-1,545965631;NA;-1,072908193;-0,977280541;-1,349397087;-0,7357809;-0,645774933;-0,451941864;-0,488829858;8,61E-12;8,29E-136;1,04E-09;2,14E-165;0,085257415;1,08E-10
CIITA;-1,520722096;-1,429062857;NA;-1,667667928;NA;-1,719073601;-0,989147066;-1,909981733;-0,14587008;-0,930553764;-0,061647015;-1,268671854;3,52E-62;5,63E-11;0,459425319;1,13E-160;0,875555798;2,26E-23
MUC4;NA;-1,372049955;-1,703974779;NA;0,37788415;NA;0,368172516;-0,738893558;-0,62089576;-0,106619178;0,033207216;0,052300407;0,015470154;1,46E-159;1,26E-08;0,177015395;0,610123783;0,64733181
B2M;-1,555413236;-0,928855402;-1,293353561;-1,193031533;-1,216249044;-1,373183889;-0,663941821;-0,474986223;-0,553647908;-0,407008426;-0,589815489;-0,601671975;7,24E-35;6,32E-52;5,36E-19;6,26E-155;3,07E-14;1,53E-70
JAK2;-1,218713823;-0,971860054;-1,180452315;-1,375764782;-0,10577629;0,206982611;-0,591004829;-0,590670818;-0,409172933;-0,526034782;0,007756738;0,055249248;5,60E-70;2,03E-31;3,72E-26;5,34E-152;0,769771813;0,008426879
APOL6;-1,11492556;-1,360246378;-1,525748511;-1,35138552;-2,700774085;-1,592391207;-0,642623;-0,86270627;-0,836846568;-0,533084062;-1,943098765;-0,902880781;7,52E-46;4,08E-65;1,17E-21;4,28E-147;1,05E-08;5,39E-49
AC116366.3;-0,990897656;-1,117314064;-0,780400105;-1,136025148;-1,983488336;-1,221595346;-0,565608143;-0,62390518;-0,401715408;-0,442875899;-1,20483105;-0,55015582;3,19E-47;4,03E-29;1,22E-07;8,06E-143;4,33E-25;4,73E-52
