gene_ID log2FC_A549 log2FC_BXPC3 log2FC_HAP1 log2FC_HT29 log2FC_K562 log2FC_MCF7 beta_cell_typeA549 beta_cell_typeBXPC3 beta_cell_typeHAP1 beta_cell_typeHT29 beta_cell_typeK562 beta_cell_typeMCF7 p_cell_typeA549 p_cell_typeBXPC3 p_cell_typeHAP1 p_cell_typeHT29 p_cell_typeK562 p_cell_typeMCF7
STAT1 -0.8269280046715 -1.16702403388413 -1.31531414012714 -1.2178594488067 -1.61197700525764 -1.42089767488931 -0.40207288408871 -0.587857939390213 -0.693794288485954 -0.540132615251013 -1.05777395918753 -0.733724082167714 6.34480975287466e-100 3.43723655365014e-131 3.04001996020439e-78 0 9.83358360415147e-171 0
WARS -1.4756185225615 -1.74265050410268 -1.28330530892297 -1.53747030400848 -1.10655527555327 -1.53130154962513 -0.927936637300717 -1.1936431491571 -0.742227157662734 -0.74175808236537 -0.560573436827998 -0.753947541753985 4.43773986361835e-253 3.75437010513695e-307 8.99929123915219e-108 0 6.93552990754987e-51 9.54003676821493e-127
PARP14 -1.09512981602213 -1.32691186972657 -1.43136044338624 -1.24793172877964 -1.20085770024183 -1.53784252716943 -0.582910593276616 -0.766848951972414 -0.772441852305005 -0.521044717674163 -0.796948168438772 -0.833761326808354 1.65260956315524e-215 7.47554106535543e-247 5.89581937406992e-109 0 4.05423485340313e-52 3.89039745467282e-247
RNF213 -1.2726623206258 -1.24012999855765 -0.870918791847134 -1.31569133040381 -0.20114075537928 -0.683000699023408 -0.66989310024753 -0.640006460739593 -0.365794758443765 -0.574755794524042 -0.0949365265331257 -0.24296540396766 0 8.22626823009959e-188 2.19856830566768e-37 0 0.00986515627801383 6.37162642170712e-64
IRF1 -1.50164389079272 -1.48048929334288 -1.41403363536894 -1.4093618052741 -1.85669404170926 -1.46225097968913 -0.823599192356544 -1.07578558273993 -0.697518762552604 -0.657304648851961 -1.28795061574319 -0.763827748887973 3.90887858816934e-94 2.3826185318858e-103 5.62098633672457e-22 8.09376785492799e-284 2.57937354268758e-34 4.08606766424826e-61
DPYD -0.518632625177088 -0.63007119847239 NA -1.2246018531663 NA -1.18472621112594 -0.176259806348786 -0.253822589149851 -0.0256199535392716 -0.517959118216141 0.0730545507955804 -0.422942712603394 2.01384241034447e-17 1.76671067978962e-40 0.83559577937427 1.42844013836064e-247 0.568372455928409 9.9294435669979e-101
LAP3 -1.43254169685209 -1.26798160905881 -1.35179181774548 -1.2585856237258 -0.546498491902464 -0.542225894697244 -0.723207648761571 -0.629721792011235 -0.55207713062524 -0.509775646413108 -0.21721872874597 -0.210864138809313 1.7082534768057e-78 8.52620686583733e-51 5.68660648689328e-66 3.65059446464306e-246 7.24665754256762e-06 2.59630917813434e-06
GBP1 -1.38333822075237 -1.85121839165072 -1.89114555126121 -1.52631850861064 NA -1.63590857179456 -0.88393027182818 -1.26230514983142 -0.930806799945926 -0.750093078277618 -0.0438744695884413 -0.959140526466425 2.49427823881957e-39 9.83592680940834e-182 4.95964504614806e-66 1.91674333929764e-245 0.853179029686191 1.46976959095677e-39
PARP9 -0.782294758905765 -1.14544960450208 -1.43675881647199 -1.23123547899915 -1.67094141214579 -1.40377366940972 -0.359327284292185 -0.570045409681573 -0.763306041272884 -0.539197908907006 -1.05876193453441 -0.702180950113226 6.44721836180261e-28 6.48817236247803e-48 1.60832294378205e-08 2.87401364708406e-236 4.49485135936675e-19 1.65827526539755e-58
GBP4 -1.92593824738673 -1.6147935966481 -1.42893197387051 -1.60451140965194 NA -1.32246947871977 -1.19432853490452 -1.22380141981012 -0.63122487928172 -0.799774116843959 -0.911891992506693 -0.683666166967338 1.4422982640066e-27 1.04714112834184e-187 1.074541805702e-11 4.36254081677271e-219 0.00218847610748338 2.25262063711912e-11
NLRC5 -0.8645898241375 -1.52926084818847 -1.47186745237325 -1.37945441857844 -1.6509187488922 -1.65416957232728 -0.495066980477949 -1.10131739128131 -0.827056956997084 -0.749443637365468 -1.54016431433195 -0.986532913924531 8.69682607027985e-46 9.65870212107667e-72 1.70913042041084e-66 6.35732507653611e-208 6.31401335464286e-16 5.30721639550577e-132
TAP2 -1.11748760094418 -1.30219237555191 -1.34816081882025 -1.26166181695175 -1.6101640627626 -1.7416621595684 -0.576033619696961 -0.663739165162155 -0.668753441619512 -0.520734574515212 -0.913327585750087 -0.842263019300293 3.70992542078344e-39 1.20421777575358e-46 4.17762103899321e-37 3.01402678526952e-189 3.49905011227243e-40 8.77583515648948e-55
EPSTI1 NA -1.46284249375249 NA -1.40226967278888 NA NA -0.683834211732721 -0.888767356726488 -0.0320284043494156 -0.762783730543233 -0.791161154923992 0.172755304802988 0.00020432003004979 1.36997267589435e-107 0.883259999563961 7.95649953026801e-183 0.000809029254022969 0.171168231576973
TRIM31 NA NA NA -1.11102199851952 NA -0.94163063481779 -0.935420170404689 -0.774577851704184 0.274009708687774 -0.380034767853274 -0.0147679371729175 -0.323240825149531 1.69020780907225e-05 9.69186348989241e-10 0.261824767713713 2.37846313815455e-176 0.958277100840815 4.19991577986524e-12
GBP2 -1.79426298431082 -1.69000742122408 -1.52547530644522 -1.54596563084059 NA -1.07290819274253 -0.977280540735389 -1.3493970873139 -0.735780899743059 -0.645774933392834 -0.451941864354407 -0.488829857647654 8.60688710575169e-12 8.28749677337111e-136 1.04325527807771e-09 2.14215457777573e-165 0.0852574145354804 1.08358413140889e-10
CIITA -1.52072209645711 -1.42906285721732 NA -1.6676679277793 NA -1.71907360132673 -0.989147066181051 -1.90998173300487 -0.145870080001733 -0.93055376380374 -0.0616470154227059 -1.26867185358023 3.51937745131009e-62 5.6338920223989e-11 0.459425318545199 1.12938583067459e-160 0.875555797740793 2.25738973284102e-23
