gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
LRMDA,0.091466959,1.10249049,0,-0.271554019,0,0.055751663,0.005090788,0.414132777,0.098698219,-0.050224344,-0.210704127,-0.026599107,0.884173225,5.06E-69,0.339269282,0.644154102,0.15862541,0.517232969
AC020687.1,0,1.937795853,0,0,0.176638591,0,-0.028760791,0.58725589,-0.068867317,-0.232481843,-0.010650139,-0.041508868,0.846597912,1.00E-65,0.681277467,0.278376963,0.69192428,0.639025689
FAT1,0.178307525,-0.368091294,0.129024569,0.068896709,0.32342007,-0.057163132,-0.000516649,-0.208835899,0.002924137,0.004560966,0.017186755,-0.186301768,0.986971009,7.23E-57,0.929012147,0.811639939,0.641928398,0.002326868
CASC19,0.095095164,0.952722454,0,0.058651517,0,0,-0.006819676,0.365731654,0.101237183,-0.074374064,0.01113387,-0.138226168,0.932182972,9.30E-50,0.354480082,0.016016913,0.931001513,0.256999373
MT-RNR2,0.22369114,0.055529879,0.124919839,0.11557579,0.209820256,-0.037409323,-0.055923247,0.006969889,-0.017393289,-0.003841403,0.005164398,-0.168922448,0.000728105,0.429348942,0.110315719,0.80175599,0.681038672,1.47E-41
PTPRQ,0,-0.995387312,0,0,0,0,-0.270475156,-0.426238894,-0.291353483,0.32370647,0.209292568,-0.046313185,0.307862341,1.31E-30,0.575630256,0.337054677,0.440079202,0.636693402
MT-RNR1,0.113430887,0.064321109,0.097526785,0.101003066,0.156940906,-0.02790354,-0.073703534,0.009575311,-0.027936252,-0.005624169,-0.013705858,-0.143723294,1.91E-05,0.297828395,0.012670564,0.722699524,0.286523666,1.02E-28
MMP16,0,0,-0.015106726,0,0,-2.248127021,-2.14784259,0.183865589,-0.016566405,0.183672425,-0.008744653,-1.356681705,0.167877409,0.206379329,0.511226306,0.455982387,0.980850729,6.71E-28
DLG2,0.007969757,-0.012655187,-0.049725656,0.113056001,0.226991818,0.36902097,0.069368695,-0.039757439,0.03610974,0.149519815,0.053401313,0.235957285,0.375069479,0.226975549,0.081387439,0.011052233,0.179507395,1.47E-26
AC087762.1,0,0.24671372,0,0.035373259,0,0,-0.263034055,0.141853272,-0.07715742,0.046472172,0.042874746,0.029217372,0.383870063,4.10E-22,0.63213214,0.568401525,0.785626442,0.832657166
LAMA5,-0.008873277,0.356994268,0.087002122,0.092691739,-0.038071906,0.044267448,0.047756767,0.142352419,0.006289316,-0.035328662,-0.190920768,-0.063120223,0.415086882,1.62E-21,0.894306039,0.254268809,0.012195385,0.03943132
PDE4D,0.043608562,0.00036321,0.179556924,0.049469847,0.323767401,0.271834938,0.003910348,-0.00087221,0.012846557,0.028398976,0.137618351,0.217763817,0.864134381,0.953715312,0.830173763,0.231777634,0.009673414,3.73E-21
MACF1,0.129222913,-0.019645846,0.105370279,0.081282414,0.150980643,0.308966804,0.061168668,-0.016997656,-0.008086183,0.00736906,-0.023260277,0.141013388,0.007730808,0.110762196,0.738142117,0.751878306,0.192203675,6.89E-21
FNIP1,0.170540012,-0.338701068,0.097333476,0.085379733,0.176888088,0.058650005,-0.02453546,-0.208398841,0.029484518,-0.023672099,0.028137373,0.001370516,0.463039411,9.60E-21,0.238978059,0.42002594,0.133344781,0.945877397
