gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
STAT1,-1.307988171,-1.874575656,-2.570429156,-1.66345124,-1.991177039,-0.236544373,-0.876660391,-1.36392695,-1.825410214,-1.320364291,-1.53594676,-0.290932889,5.31E-105,0,0,0,5.08E-206,1.74E-45
EIF2AK2,0.032877451,-0.030105898,-1.338059784,-0.464985997,-0.542861683,0.197112637,-0.039030793,-0.10058994,-0.505594035,-0.450954117,-0.555797759,0.027107808,0.050351863,1.05E-28,0,6.32E-228,3.23E-84,0.017235737
DDX58,-0.068064745,-0.087378519,-1.703119409,-0.376986931,-0.710300537,0.211600161,-0.176263037,-0.255310391,-0.765494408,-0.710924556,-0.913648865,0.097156408,6.23E-25,2.26E-109,0,3.85E-241,6.90E-64,3.51E-10
PARP14,-0.010432711,-0.037212772,-1.926384613,-0.458694262,-0.532569406,0.221067006,-0.090128435,-0.196937898,-0.851849163,-0.579046705,-0.587702645,0.06955729,1.37E-08,6.62E-118,0,0,2.31E-60,8.54E-09
RNF213,0.060286457,-0.099249116,-1.150138973,-0.309470531,-0.290741324,0.306108525,-0.072546563,-0.307529762,-0.402228783,-0.467672931,-0.415680699,0.142856103,3.17E-07,2.54E-190,4.64E-238,0,3.23E-61,6.96E-22
SP100,0.044600107,-0.167721848,-2.191892007,-0.529047092,-0.428772267,0.167521786,-0.030080135,-0.154531291,-1.042216424,-0.579153458,-0.467595246,0.035755409,0.140921533,8.35E-57,2.25E-210,1.72E-280,7.37E-59,0.024221239
DDX60,0.001300913,0.129519718,-2.146536434,-0.502847306,-0.473691876,0.246666415,-0.074463011,-0.11897987,-1.07288426,-0.747214682,-0.627124606,0.053352065,0.005547827,2.10E-26,6.53E-270,1.36E-172,3.90E-18,0.008207169
ADAR,0.017464485,-0.08127195,-0.892311546,-0.239697943,-0.153762711,0.131511385,-0.044508524,-0.110771025,-0.317794481,-0.245169934,-0.227232615,0.005425718,0.032273254,7.83E-23,3.53E-269,1.14E-87,8.70E-23,0.652322212
OAS3,0.016067083,0.017885925,-2.040644984,-0.611199827,-0.611690107,0.180712775,-0.100696766,-0.140005792,-0.94663552,-0.714285919,-0.872054546,0.015695784,2.28E-06,7.60E-26,1.42E-159,5.11E-266,7.75E-79,0.255776539
TRIM22,-0.230794669,-0.265507872,-1.430061933,-0.22698204,-0.777381445,0.251373612,-0.294663061,-0.424604368,-0.576368817,-1.02061262,-0.987084011,0.139569875,1.21E-13,1.48E-80,1.09E-257,2.62E-51,3.02E-13,4.37E-07
MX1,-0.100603353,-0.163001212,NA,-0.50636909,-0.738692497,0.251100876,-0.167360473,-0.235581301,-0.197786524,-0.861961499,-1.379541245,0.1033025,1.74E-12,1.15E-70,0.014545885,1.30E-254,5.25E-118,4.37E-10
OAS2,-0.034563657,-0.072087279,-2.493974684,-0.498251781,-0.680906469,0.164554253,-0.199117935,-0.219844194,-1.256654957,-0.940337685,-1.410722014,0.083923508,5.70E-07,2.40E-61,2.56E-250,8.97E-171,1.18E-30,1.05E-07
DDX60L,0.008608135,0.023920699,NA,-0.371183881,-0.456881618,0.331686472,-0.110408556,-0.224442287,-0.065483233,-0.806685808,-0.678603614,0.139776133,1.98E-09,4.31E-129,0.235857529,5.10E-223,6.53E-52,4.17E-16
PLSCR1,-0.140562259,0.078811971,-1.483483807,-0.499018814,-0.519603664,0.252352529,-0.137100697,-0.101284199,-0.590604319,-0.537487207,-0.576244564,0.088959244,1.25E-07,1.10E-18,8.64E-209,1.37E-194,4.99E-33,1.03E-08
IFI44L,-0.237253688,-0.066527699,-2.34669816,-0.604929023,-0.878618424,-0.01350661,-0.233101787,-0.154610125,-1.212613348,-0.991148059,-1.532526124,-0.059707005,1.61E-05,1.03E-44,2.38E-205,1.94E-204,4.55E-22,0.106496346
IFIT1,-0.013673567,-0.131425996,-1.801383543,-0.259427742,-0.486932122,0.20517002,-0.171669236,-0.301099519,-0.984191785,-0.802771033,-0.908550934,0.101841558,1.05E-09,1.17E-77,3.93E-205,7.02E-62,5.18E-16,4.16E-06
SAMHD1,-0.005021506,-0.166298689,-1.320880834,-0.524706766,-0.570149922,0.355367345,-0.029280454,-0.241201241,-0.476926089,-0.693906908,-0.667357641,0.141779486,0.342317426,5.33E-71,4.45E-205,5.74E-134,7.64E-27,5.33E-15
SAMD9,-0.133747196,-0.186664781,-1.991347301,-0.39881411,-0.650114813,0.171518592,-0.145753084,-0.258647759,-1.011827961,-0.53391616,-0.826135013,0.109368896,1.58E-07,1.32E-128,1.24E-203,3.01E-177,1.37E-28,1.92E-11
SP110,-0.075416241,-0.19902616,-2.134536381,-0.351865576,-0.476134643,0.185943432,-0.061676886,-0.277091896,-1.088484151,-0.575814566,-0.555916189,0.047598198,0.048494904,3.40E-78,2.15E-201,7.72E-85,4.66E-22,0.008931805
PARP9,-0.081769876,0.083273609,-1.876041456,-0.499589241,-0.720417241,0.152950984,-0.026979499,-0.123286954,-0.842233183,-0.639443371,-0.770312116,0.028330134,0.3217083,3.29E-25,8.40E-156,5.34E-197,1.63E-25,0.08036136
IFI6,-0.149708279,-0.243210363,-1.978617192,-0.396437445,-0.626944468,0.198049662,-0.148312359,-0.260516172,-0.996258289,-0.853413881,-1.054258635,0.075124572,4.24E-05,9.64E-68,7.99E-189,2.66E-74,1.33E-50,1.99E-05
IFIH1,0.134738087,-0.241885065,-1.957289819,-0.465620508,-1.061228741,0.226340013,-0.189966094,-0.330856437,-0.985168773,-0.755909527,-1.20345986,0.134319565,5.84E-10,1.15E-96,9.31E-185,7.39E-120,2.99E-28,3.50E-16
EPSTI1,NA,-0.157573703,NA,-0.587472523,-1.081163388,NA,-0.178042269,-0.297771294,0.044062005,-1.019282885,-1.410205016,-0.146975663,0.281690928,7.72E-112,0.63076017,2.14E-182,2.49E-23,0.390591245
HERC6,-0.116426315,-0.084160106,-1.882810209,-0.460025861,-0.834626998,0.219594063,-0.135115644,-0.171396041,-0.774653101,-0.771642122,-0.87701675,0.08083343,0.000278708,5.33E-36,9.18E-169,1.40E-170,3.01E-10,0.000171596
IFI44,-0.043704335,-0.006942983,-2.220853892,-0.495059983,-0.822350891,0.233149904,-0.139648987,-0.114922326,-1.204526098,-0.831793218,-1.014853993,0.105435997,0.003200127,2.69E-30,3.09E-149,4.68E-168,3.01E-08,4.69E-05
DTX3L,-0.060641599,0.052726951,-2.059800638,-0.423371986,-0.568148778,0.219348689,-0.080144072,-0.098493102,-0.993533012,-0.393255504,-0.507929517,0.070919808,0.017507435,8.24E-11,1.19E-167,1.28E-76,4.87E-12,0.001089488
IFIT3,-0.056564244,-0.160113296,-1.880318903,-0.287892259,-0.441456711,0.315058659,-0.204568657,-0.369929495,-0.964099393,-0.803685782,-0.969814434,0.1616173,4.28E-20,3.44E-148,2.40E-167,2.14E-120,1.61E-35,2.34E-15
B2M,-0.077664455,-0.258852052,-1.42544379,-0.536970809,-0.266647959,0.234758928,-0.109484506,-0.28030887,-0.476959924,-0.425606011,-0.34378492,0.088014405,0.006285484,1.11E-94,8.59E-157,6.56E-68,1.05E-12,4.78E-06
IFIT2,-0.049278941,-0.202999585,NA,0.039253114,NA,0.260527128,-0.249634611,-0.594634404,-0.650873123,-0.682511284,-0.438218233,0.213505364,1.30E-16,1.84E-152,7.32E-24,3.18E-19,0.00368485,1.23E-11
