gene_ID log2FC_A549 log2FC_BXPC3 log2FC_HAP1 log2FC_HT29 log2FC_K562 log2FC_MCF7 beta_cell_typeA549 beta_cell_typeBXPC3 beta_cell_typeHAP1 beta_cell_typeHT29 beta_cell_typeK562 beta_cell_typeMCF7 p_cell_typeA549 p_cell_typeBXPC3 p_cell_typeHAP1 p_cell_typeHT29 p_cell_typeK562 p_cell_typeMCF7
STAT1 -1.30798817130167 -1.87457565613769 -2.57042915572538 -1.66345124002928 -1.9911770390236 -0.236544373194199 -0.876660390707503 -1.36392695036891 -1.82541021429345 -1.32036429099884 -1.5359467602701 -0.290932888928013 5.3059733598447e-105 0 0 0 5.07709552155462e-206 1.74014812966585e-45
EIF2AK2 0.0328774514463428 -0.030105897521217 -1.33805978397658 -0.464985997353301 -0.54286168299294 0.197112636918159 -0.0390307933914262 -0.100589939512396 -0.505594034556102 -0.450954116606389 -0.555797758676565 0.0271078082636801 0.0503518631442891 1.04987345413098e-28 0 6.31818472802194e-228 3.22547939749189e-84 0.0172357367935838
DDX58 -0.0680647446539142 -0.087378519312149 -1.70311940928152 -0.376986931312241 -0.710300536765182 0.211600161436011 -0.176263037498001 -0.255310390679906 -0.76549440844519 -0.710924555907407 -0.913648864788778 0.0971564083712293 6.22679647974178e-25 2.26174676431421e-109 0 3.8535064917178e-241 6.8950488629654e-64 3.50687764263326e-10
PARP14 -0.010432711213356 -0.0372127717858164 -1.926384613498 -0.458694262483564 -0.532569405789305 0.22106700585058 -0.0901284353257693 -0.196937898136942 -0.851849163179508 -0.579046705013315 -0.587702644857425 0.069557290144496 1.36780558532e-08 6.62172821238949e-118 0 0 2.3095732431971e-60 8.53843436565665e-09
RNF213 0.0602864570974964 -0.0992491163251756 -1.15013897329623 -0.309470530516025 -0.290741323609731 0.306108525069688 -0.0725465629460844 -0.307529761938435 -0.402228783490154 -0.467672931319613 -0.415680699266777 0.142856103248797 3.1681699970565e-07 2.54434976608373e-190 4.63891379627578e-238 0 3.22702283356733e-61 6.96280699851545e-22
SP100 0.0446001067453916 -0.167721848410967 -2.19189200727958 -0.529047092123189 -0.428772267139909 0.167521785560915 -0.030080135192768 -0.154531291349625 -1.04221642351165 -0.579153457985316 -0.467595246004786 0.0357554088768233 0.140921533285428 8.34869146882475e-57 2.25149023338841e-210 1.71568157513586e-280 7.36780348975574e-59 0.0242212386693484
DDX60 0.00130091331406657 0.129519718358938 -2.14653643384062 -0.502847305805406 -0.473691876439944 0.246666415456591 -0.0744630114593 -0.118979870465473 -1.07288426044265 -0.747214681594401 -0.627124605834872 0.0533520646868924 0.00554782702167148 2.09821916259728e-26 6.52989403189727e-270 1.35795852484887e-172 3.90022401655322e-18 0.00820716891442899
ADAR 0.0174644845145812 -0.0812719501056616 -0.892311545551987 -0.239697942630321 -0.153762711221742 0.131511385399236 -0.0445085243257139 -0.110771024923681 -0.317794480774126 -0.245169933531337 -0.22723261456549 0.00542571830703811 0.0322732544544289 7.83173885506027e-23 3.53097817909041e-269 1.13926210187158e-87 8.69757591391748e-23 0.652322212078289
OAS3 0.0160670834611127 0.0178859245741436 -2.04064498428573 -0.611199826763791 -0.611690107245764 0.180712774540503 -0.10069676586775 -0.140005792204617 -0.9466355201386 -0.714285918509583 -0.872054546254246 0.0156957838299727 2.28153017465692e-06 7.59636680216698e-26 1.41648297176172e-159 5.10765420060534e-266 7.74979403165695e-79 0.255776538736762
TRIM22 -0.230794669392267 -0.265507871629494 -1.43006193321563 -0.226982039849251 -0.777381444897507 0.251373612045952 -0.294663060509253 -0.424604367870234 -0.576368816642582 -1.02061261980123 -0.987084011200148 0.139569874927925 1.20726258323699e-13 1.48005210793214e-80 1.08939259131945e-257 2.62257592827771e-51 3.02430885847084e-13 4.3652806663504e-07
