gene_ID;log2FC_A549;log2FC_BXPC3;log2FC_HAP1;log2FC_HT29;log2FC_K562;log2FC_MCF7;beta_cell_typeA549;beta_cell_typeBXPC3;beta_cell_typeHAP1;beta_cell_typeHT29;beta_cell_typeK562;beta_cell_typeMCF7;p_cell_typeA549;p_cell_typeBXPC3;p_cell_typeHAP1;p_cell_typeHT29;p_cell_typeK562;p_cell_typeMCF7
SERPINE1;-0,858438701;-1,005423216;NA;NA;NA;NA;-0,46826126;-0,501169265;-0,019888453;-0,054950326;-0,301366375;-0,460891437;0;1,32E-27;0,848247077;0,454433074;0,153614732;0,000761725
MTUS1;1,944008877;0,639595325;-0,157681144;-0,010803559;NA;-0,122698914;0,443999136;0,242909003;-0,058381008;-0,00480569;-0,227279067;-0,022957958;0;6,23E-12;0,140175562;0,894945065;0,429618188;0,547101201
TGFBI;-0,619449379;-0,659805544;NA;-0,187738522;NA;-0,28874423;-0,329936529;-0,265908396;0,078834492;-0,097716367;-0,060287054;-0,107852195;0;5,56E-15;0,432303088;0,006840199;0,738227103;0,027969487
ASPH;0,703244862;0,207771561;-0,121936466;-0,217003877;0,076113059;0,398137215;0,220434276;0,092457256;-0,073097175;-0,095821683;0,080307126;0,121549611;5.52365392050514e-321;2,82E-08;0,00321857;1,36E-08;0,019849385;8,06E-07
TPM1;-0,687369529;-0,945536846;0,153430918;0,213571967;0,106871772;0,117777517;-0,40814559;-0,362108085;-0,006884743;0,107376044;0,017819901;0,069974543;7.67135728297704e-320;1,16E-20;0,839894824;0,000742357;0,872073202;0,002098915
SLC1A3;3,373541051;NA;0,104687123;NA;NA;NA;0,647507242;0,07062725;-0,047479662;0,30767042;-1,084081969;0,056267369;5,49E-306;0,568305369;0,345723113;0,104595309;0,174812302;0,856296611
LAMA3;1,799420618;-0,559963027;NA;-0,19236137;NA;0,56588258;0,399511821;-0,20507437;0,163528034;-0,115338669;0,160849584;0,241877471;4,56E-276;9,38E-18;0,097239916;2,55E-05;0,281446574;5,91E-19
SMAD3;1,021340145;0,119148971;-0,070887476;-0,286627626;0,026057192;-0,557876376;0,25959062;0,046890156;-0,051585036;-0,163312639;-0,025211511;-0,312903049;4,48E-266;0,015735561;0,052455742;1,24E-23;0,532625425;1,00E-54
NAMPT;2,063451362;-0,0774;0,179279215;-0,213104023;0,205863432;-0,28423233;0,461990424;0,006571041;0,026413552;-0,057401202;0,088141728;-0,064227286;7,43E-244;0,854604424;0,670819055;0,180858441;0,15882562;0,258094085
ABCC2;1,866684642;-0,218520651;NA;NA;NA;NA;0,413389092;-0,143318518;0,011435296;-0,012680728;0,119088193;0,119895601;1,11E-240;0,184975398;0,929521219;0,914322274;0,586925616;0,360116499
COL5A1;-0,633752826;NA;NA;NA;NA;-0,745334777;-0,471320319;-0,563687594;-0,032046401;0,1375247;-0,43469064;-0,384364377;7,53E-237;0,000347464;0,861726393;0,167021094;0,186283513;2,21E-16
MYO10;-0,696520847;-0,618343772;-0,065371077;-0,064114127;NA;-0,410403116;-0,278975975;-0,226055202;-0,072101328;-0,014357553;-0,039311697;-0,164776644;1,23E-227;5,60E-30;0,000156144;0,478249579;0,777198564;2,44E-06
KYNU;1,54666262;-0,005650273;NA;0,241797997;0,138270075;-0,206022424;0,371719543;-0,00516987;0,076940014;0,207072341;-0,093376765;-0,054757957;4,17E-216;0,909084994;0,482246081;0,001239189;0,095455605;0,140850218
PALLD;-0,750851327;-0,024989028;0,066651901;-0,197053009;NA;-0,425487983;-0,348744876;0,021805595;0,020441831;0,034176097;-0,115592549;-0,257113825;1,43E-196;0,626455788;0,50665853;0,591084046;0,501400813;4,27E-09
COL4A1;-0,632642582;NA;NA;NA;NA;NA;-0,348817619;-0,253961959;0,050039558;-0,127707662;-0,037010339;-1,085708736;8,35E-180;0,114203438;0,737533088;0,288567624;0,897523667;0,063297433
NEAT1;0,798587627;-0,080763049;0,089022631;-0,004049221;-0,028424769;-0,104745178;0,230149703;0,003958609;0,077545024;-0,009715451;0,005353773;-0,092443137;1,14E-177;0,854353204;0,000148588;0,532931511;0,857329258;2,42E-06
TXNRD1;0,727707367;-0,178608448;0,064566561;-0,10572681;0,177197036;-0,225283055;0,218893651;-0,036636833;-0,016738078;0,004264962;-0,013966868;-0,114564215;2,94E-174;0,117582601;0,554847018;0,841499426;0,780722319;5,14E-05
NPC1;1,274773458;-0,149890136;0,007266584;-0,099670363;0,228610202;0,203959702;0,31591505;-0,003305158;-0,109817995;-0,07744905;0,09941802;0,056033181;1,35E-166;0,93371908;0,04084011;0,053654247;0,103092968;0,160459287
ZFPM2-AS1;1,244993019;0,239039601;NA;NA;0,065426783;NA;0,335660245;0,123656264;0,047717596;-0,016053454;0,017168537;0,154266245;3,07E-164;6,21E-08;0,727906318;0,90196029;0,644582742;0,265044665
COL4A2;-0,610298532;NA;NA;NA;NA;NA;-0,299096215;-0,007751272;-0,056925996;0,024783612;0,393182295;0,384137534;1,28E-156;0,956606571;0,713935402;0,80254745;0,056109196;0,008048388
PODXL;-1,102222466;-1,809420433;0,112106566;-0,726088043;NA;0,411509586;-0,464804798;-1,002181444;-0,085181121;-0,531145786;0,240784634;0,230882874;3,12E-25;2,55E-145;0,070272327;1,32E-75;0,261364836;1,53E-06
FRMD6;-0,87474227;-0,440649961;-0,016612504;NA;NA;-0,419189036;-0,566161549;-0,156559517;-0,028312882;-0,051459021;-0,017635724;-0,170988626;6,32E-144;2,69E-15;0,653470348;0,55423411;0,918956906;0,000829974
PLCB4;-0,57117505;NA;NA;-0,429635591;NA;0,386276145;-0,373812939;-0,265546674;-0,12985532;-0,117335092;-0,0508201;0,144179671;3,87E-136;0,089918736;0,206954741;0,068588503;0,759998943;2,78E-06
PTPRK;-0,61439266;-0,940104917;0,013975241;-0,024073374;NA;-0,375401454;-0,298418935;-0,365246589;0,01375086;0,012927877;-0,003135542;-0,166325543;7,17E-136;4,33E-89;0,561270919;0,317047768;0,978294221;1,06E-26
PDE10A;0,737175763;NA;-0,118449545;-0,065869761;NA;NA;0,211716106;-0,053156127;-0,072045689;-0,016140184;-0,219436948;0,177610865;1,03E-135;0,679843385;0,086371437;0,481004482;0,201539103;0,068700934
HIF1A;0,667693276;-0,185595378;0,037832562;-0,081659574;0,009774091;-0,124415378;0,204552082;-0,075085566;-0,005972432;-0,005206932;0,0315916;-0,0595917;1,74E-135;0,000966828;0,878339471;0,874504217;0,593799922;0,013512467
PBX1;0,749641515;1,031190506;0,006257232;0,038991112;0,133336905;0,405158459;0,23204303;0,337791933;0,043500986;0,119238863;0,053611232;0,159547391;4,60E-134;3,99E-34;0,085123856;0,0004708;0,15678923;8,40E-13
ABCC1;0,859810032;0,023967151;0,064469909;-0,131283443;0,075007226;-0,158707597;0,244850466;0,039956208;-0,001215708;-0,024109592;-0,003502795;-0,103679746;4,74E-134;0,127485398;0,962630818;0,342119154;0,948601344;0,000119719
EVA1C;1,715284633;0,136162991;0,372505746;-0,204498555;NA;NA;0,407523805;0,107341727;0,136804959;-0,109559214;0,191119616;0,098821873;5,50E-132;0,119766551;0,047989842;0,019694308;0,420966354;0,295724647
MYOF;0,81471863;0,197477398;0,0021267;-0,300080368;NA;0,684448361;0,213799766;0,089047883;0,067445506;-0,162790366;0,06797815;0,247397973;1,24E-131;4,95E-07;0,376984804;4,96E-10;0,569238491;5,95E-44
SEMA3C;-0,738519817;-0,966740904;0,358270281;-0,112249349;NA;-0,23278396;-0,312871823;-0,370098139;0,176991019;-0,052040718;0,057995571;-0,111304964;2,58E-131;1,64E-48;0,000616412;0,005632127;0,596584189;2,33E-11
EYA4;0,811255288;0,332378158;0,029768466;NA;NA;NA;0,255236751;0,127415888;0,023551549;0,120313895;0,277688458;0,147421129;2,32E-129;0,00235737;0,371155389;0,367497432;0,17740242;0,289624484
KIRREL3;-0,831226391;NA;NA;NA;NA;NA;-0,323543307;0,308979796;-0,073188279;-0,018023986;-0,04357122;0,235769872;4,84E-122;0,019131867;0,563917848;0,838502065;0,838219713;0,053725418
PMEPA1;-0,618207435;-1,547924399;-0,01286637;-0,711678225;NA;-0,901315202;-0,352523691;-0,806956043;-0,06949883;-0,57318295;-0,001834824;-0,756749395;2,47E-110;7,00E-71;0,298820865;4,65E-91;0,9929611;9,11E-122
