gene_ID log2FC_A549 log2FC_BXPC3 log2FC_HAP1 log2FC_HT29 log2FC_K562 log2FC_MCF7 beta_cell_typeA549 beta_cell_typeBXPC3 beta_cell_typeHAP1 beta_cell_typeHT29 beta_cell_typeK562 beta_cell_typeMCF7 p_cell_typeA549 p_cell_typeBXPC3 p_cell_typeHAP1 p_cell_typeHT29 p_cell_typeK562 p_cell_typeMCF7
SERPINE1 -0.858438701175469 -1.00542321612695 NA NA NA NA -0.468261260072482 -0.501169264578372 -0.0198884529288009 -0.0549503255164574 -0.301366374760464 -0.460891436933806 0 1.31629052091439e-27 0.848247076734407 0.454433073552282 0.153614731848213 0.000761724663010263
MTUS1 1.94400887656024 0.639595325075659 -0.157681144398504 -0.0108035594237696 NA -0.122698914163226 0.44399913581768 0.242909002682228 -0.0583810083773534 -0.0048056902467157 -0.227279066525183 -0.0229579576305539 0 6.23026190784814e-12 0.140175562018787 0.894945065495221 0.429618188499497 0.547101200568949
TGFBI -0.619449379169082 -0.659805544477794 NA -0.187738522456744 NA -0.288744230344842 -0.329936529422555 -0.265908395621604 0.0788344916304324 -0.0977163670682553 -0.0602870536284706 -0.10785219502956 0 5.55851672847241e-15 0.432303087649516 0.00684019948493089 0.738227103447117 0.0279694873344813
ASPH 0.703244861848159 0.20777156110242 -0.121936466497992 -0.217003877083532 0.0761130591136547 0.39813721492675 0.220434275650488 0.0924572560884833 -0.0730971747344804 -0.09582168270765 0.0803071258789126 0.121549610946709 5.52365392050514e-321 2.81929962755383e-08 0.00321856963314853 1.35725141421015e-08 0.0198493845371528 8.06335220848917e-07
TPM1 -0.687369529362548 -0.945536845767521 0.153430918057984 0.213571966815553 0.106871772327207 0.117777517430343 -0.408145590006818 -0.3621080849971 -0.00688474344340161 0.107376044006861 0.0178199007195086 0.0699745427155635 7.67135728297704e-320 1.16248456823723e-20 0.839894823925711 0.000742356753208468 0.87207320178357 0.00209891483415672
SLC1A3 3.37354105126227 NA 0.10468712283479 NA NA NA 0.647507242125589 0.0706272502405385 -0.0474796620445973 0.307670420276505 -1.08408196879783 0.0562673693020276 5.48698887851271e-306 0.568305369337555 0.345723112867345 0.104595309354505 0.174812302046463 0.856296611201064
LAMA3 1.79942061824259 -0.559963026559022 NA -0.192361370259494 NA 0.565882580249779 0.399511821362937 -0.205074370228687 0.163528033623229 -0.115338668524455 0.160849584126958 0.241877471303539 4.56310605196569e-276 9.3799340837149e-18 0.0972399163663447 2.54632594344303e-05 0.281446573841816 5.91208604106183e-19
SMAD3 1.02134014490814 0.119148970503067 -0.0708874764938455 -0.286627626185399 0.0260571920741138 -0.557876375858624 0.259590620120324 0.0468901555701461 -0.051585035772999 -0.1633126391091 -0.0252115109099648 -0.312903048721594 4.48419758237827e-266 0.0157355611340714 0.0524557421372103 1.24309790586327e-23 0.532625424548495 1.00449026597691e-54
NAMPT 2.06345136179159 -0.077400000004918 0.179279215319664 -0.213104022996615 0.205863431936204 -0.284232330007476 0.461990423768097 0.00657104093988529 0.02641355155324 -0.0574012022034897 0.0881417284756913 -0.064227285716959 7.42724599248534e-244 0.854604423726854 0.670819054995665 0.180858441153008 0.158825620209608 0.258094084970466
ABCC2 1.86668464187208 -0.218520650972099 NA NA NA NA 0.413389092025394 -0.143318518146106 0.011435295709271 -0.0126807279720004 0.119088193076733 0.119895600566168 1.11489424507935e-240 0.184975397541411 0.929521218561268 0.914322273984369 0.58692561640586 0.360116499056413
