gene_ID,log2FC_A549,log2FC_BXPC3,log2FC_HAP1,log2FC_HT29,log2FC_K562,log2FC_MCF7,beta_cell_typeA549,beta_cell_typeBXPC3,beta_cell_typeHAP1,beta_cell_typeHT29,beta_cell_typeK562,beta_cell_typeMCF7,p_cell_typeA549,p_cell_typeBXPC3,p_cell_typeHAP1,p_cell_typeHT29,p_cell_typeK562,p_cell_typeMCF7
VMP1,0.027407638,0.178113132,-0.031415074,-0.230156025,-0.213181013,-0.752615969,0.020614034,-0.079522998,-0.087250418,-0.046818753,-0.058608978,-0.203708113,0.257499122,0.152712091,0.246794843,0.000104682,0.134733167,8.34E-196
TRIM37,-0.038773367,0.440957836,-0.059654553,-0.087906806,-0.050897871,-0.657055253,-0.03463923,0.089366948,-0.045582865,-0.003799626,-0.004321172,-0.179824399,0.256586406,0.308611573,0.551887013,0.860424452,0.929659763,1.89E-182
SLC38A1,0.018960901,0.444196795,-0.016765588,-0.168592551,0.065134934,1.200689484,0.016112818,0.050394121,-0.062028327,-0.03294616,-0.012850209,0.214718766,0.534262174,0.240925588,0.225917156,0.007637884,0.74417323,2.84E-153
KCNJ3,0,0,0,0,0,2.39072205,-0.350654334,-81.88425434,0.442393669,0.497419153,0.664619047,0.499328096,0.306517273,0.997780815,0.119358956,2.21E-21,8.05E-05,6.03E-142
SMAD3,-0.467885371,0.065199525,0.00099495,-0.716329233,-0.842584101,-0.146792114,-0.124482516,-0.081525219,-0.039161668,-0.250230068,-0.392850532,-0.085454778,5.55E-17,0.041792637,0.50380847,1.75E-119,2.60E-21,3.56E-13
TNS3,-0.690215592,-0.00838043,0.139350925,-0.075326312,0.063303826,-1.290991868,-0.163840249,-0.068628539,0.050028677,-0.025759775,0.178217944,-0.336020106,6.80E-21,0.366931356,0.314488301,0.137473374,0.141287471,2.34E-118
ADAMTS19,0,0,0,0,0,1.608806591,-0.043686901,0.025280092,0.001737336,0.08745605,0.176854333,0.307145884,0.732007635,0.921141959,0.993965882,0.141986165,0.233172024,6.81E-110
KRT18,1.31282994,0.322719389,0,0.025583919,0.22217829,1.229304801,0.320074928,0.011897484,-0.173704875,0.034831791,0.24807013,0.218296074,2.14E-18,0.888930408,0.576671213,0.000280361,0.000198639,3.96E-102
MTUS1,1.917871307,-0.318551488,-0.316506627,-0.040048706,0,-0.374467861,0.506544214,-0.121724969,-0.112601206,0.03262296,0.193323247,-0.10232326,5.84E-97,0.230868755,0.310374672,0.172977028,0.446296165,5.88E-06
PARP14,-0.620030668,0.73699616,0.114774343,-0.541399458,-0.364956744,-0.814195949,-0.167404738,0.228728989,-0.026280776,-0.194381464,-0.142768808,-0.218680186,3.34E-21,1.34E-05,0.842458423,4.86E-89,0.059846985,3.24E-20
ROBO1,-0.853634675,1.147714834,0.086235704,0,0,1.366792692,-0.252977645,0.344888094,-0.038613833,0.108204677,-0.825771479,0.240162617,8.90E-20,0.057089285,0.383672889,0.058070763,0.017415304,1.17E-86
KLHL5,-0.844740065,-0.330789267,-0.129401075,-1.103540282,-0.680381567,-1.685263992,-0.249044742,-0.174240163,-0.231311018,-0.424458858,-0.211027466,-0.45814322,1.29E-09,0.066792119,0.010433701,9.91E-12,0.002717043,1.45E-85
DCBLD2,0.069075384,0.416434429,-0.084522065,-0.572139757,-0.142853581,0.31952618,0.020450673,-0.073572676,-0.140158355,-0.181055748,-0.072318679,0.036255749,0.10522053,0.119542442,0.07541172,4.75E-85,0.334605109,0.049779243
NCAM2,0,0,0.141318836,0,-0.086147199,1.523921363,-0.218287957,0.071684888,0.271809837,0.036285336,0.027032045,0.283875377,0.199152727,0.816488647,0.036903198,0.613787719,0.514210058,1.02E-83
MYO1B,-0.632898937,-0.299975332,-0.007181343,-0.681183949,0,-0.952308618,-0.160659839,-0.178052636,-0.043051414,-0.264805011,0.051026745,-0.286438577,1.87E-05,0.00131604,0.661708703,7.07E-17,0.800440005,1.83E-83
KYNU,-0.917448827,0.890658361,0,-0.631935838,-0.505722973,-1.275754512,-0.246170671,0.301132711,0.376432449,-0.271590811,-0.182005138,-0.385836618,1.29E-27,9.85E-06,0.083295532,7.17E-06,0.000448045,2.86E-80
SGPP2,0,0,0,-1.181029296,0,-2.564475453,-0.131655585,0.038692065,-0.054153883,-0.423174771,0.071568437,-0.628390918,0.664072733,0.828035558,0.935913228,7.69E-78,0.842984719,9.60E-11
